,accuracy,f1_score
Random Forest,0.6912751677852349,0.6675125229543143
SVM,0.6739373601789709,0.6359287339689791
Multinomial NB,0.6655480984340044,0.6250319058739214
Voting,0.6610738255033557,0.6507574725262439
Baseline,0.6493288590604027,0.6492262262703574
Logistic Regression,0.633668903803132,0.6320697583983867
